2025-02-09 02:43:25,516 [INFO] Back to home
2025-02-09 02:43:29,780 [INFO] Found template at (204, 108)
2025-02-09 02:43:29,780 [INFO] Click until found HOME_PAGE
2025-02-09 02:43:29,789 [INFO] Found template at (204, 108)
2025-02-09 02:43:29,789 [INFO] Click at client 1704, 508
2025-02-09 02:43:29,790 [INFO] Click mouse at 1710, 560
2025-02-09 02:43:30,862 [INFO] Click until found MAZE_BUTTON
2025-02-09 02:43:30,895 [INFO] Found template at (187, 68)
2025-02-09 02:43:30,896 [INFO] Click at client 1637, 298
2025-02-09 02:43:30,896 [INFO] Click mouse at 1643, 350
2025-02-09 02:43:31,955 [INFO] Click until found BATTLE_GROUND
2025-02-09 02:43:31,986 [INFO] Found template at (136, 49)
2025-02-09 02:43:31,986 [INFO] Click at client 146, 189
2025-02-09 02:43:31,988 [INFO] Click mouse at 152, 241
2025-02-09 02:43:33,054 [INFO] Click until found TRAIL_BUTTON
2025-02-09 02:43:33,072 [INFO] Found template at (232, 119)
2025-02-09 02:43:33,072 [INFO] Click at client 1747, 1029
2025-02-09 02:43:33,072 [INFO] Click mouse at 1753, 1081
2025-02-09 02:43:34,128 [INFO] Setup finished
2025-02-09 02:43:34,128 [INFO] Click until found EXTREME_TRAIL
2025-02-09 02:43:34,137 [INFO] Found template at (160, 49)
2025-02-09 02:43:34,137 [INFO] Click at client 1540, 324
2025-02-09 02:43:34,137 [INFO] Click mouse at 1546, 376
2025-02-09 02:43:35,199 [INFO] Click until found START_BUTTON
2025-02-09 02:43:35,230 [INFO] Found template at (205, 66)
2025-02-09 02:43:35,231 [INFO] Click at client 1805, 1041
2025-02-09 02:43:35,231 [INFO] Click mouse at 1811, 1093
2025-02-09 02:43:48,825 [INFO] Found template at (209, 66)
2025-02-09 02:43:48,858 [INFO] Click mouse at 965, 598
2025-02-09 02:43:49,914 [INFO] Click mouse at 965, 1098
2025-02-09 02:43:57,444 [INFO] Found template at (209, 66)
2025-02-09 02:43:57,477 [INFO] Click mouse at 965, 598
2025-02-09 02:43:58,536 [INFO] Click mouse at 965, 1098
2025-02-09 02:44:06,124 [INFO] Found template at (209, 86)
2025-02-09 02:44:06,157 [INFO] Click mouse at 965, 618
2025-02-09 02:44:07,227 [INFO] Click mouse at 965, 1118
2025-02-09 02:44:08,359 [INFO] Found template at (209, 66)
2025-02-09 02:44:08,359 [INFO] Click mouse at 965, 598
2025-02-09 02:44:09,414 [INFO] Click mouse at 965, 1098
2025-02-09 02:44:16,988 [INFO] Found template at (209, 66)
2025-02-09 02:44:17,020 [INFO] Click mouse at 965, 598
2025-02-09 02:44:18,072 [INFO] Click mouse at 965, 1098
2025-02-09 02:44:27,782 [INFO] Found template at (209, 66)
2025-02-09 02:44:27,815 [INFO] Click mouse at 965, 598
2025-02-09 02:44:28,882 [INFO] Click mouse at 965, 1098
2025-02-09 02:44:37,525 [INFO] Found template at (209, 73)
2025-02-09 02:44:37,558 [INFO] Click mouse at 965, 605
2025-02-09 02:44:38,616 [INFO] Click mouse at 965, 1105
2025-02-09 02:44:48,318 [INFO] Found template at (209, 66)
2025-02-09 02:44:48,351 [INFO] Click mouse at 965, 598
2025-02-09 02:44:49,398 [INFO] Click mouse at 965, 1098
2025-02-09 02:45:02,364 [INFO] Found template at (209, 66)
2025-02-09 02:45:02,397 [INFO] Click mouse at 965, 598
2025-02-09 02:45:03,448 [INFO] Click mouse at 965, 1098
2025-02-09 02:45:04,531 [INFO] Found template at (130, 451)
2025-02-09 02:45:04,531 [INFO] Click mouse at 1306, 778
2025-02-09 02:45:05,091 [INFO] Click until found 
2025-02-09 02:45:05,099 [INFO] Found template at (168, 49)
2025-02-09 02:45:05,099 [INFO] Click at client 1568, 1034
2025-02-09 02:45:05,099 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:06,200 [INFO] Found template at (168, 49)
2025-02-09 02:45:06,200 [INFO] Click at client 1568, 1034
2025-02-09 02:45:06,201 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:07,249 [INFO] Found template at (168, 49)
2025-02-09 02:45:07,249 [INFO] Click at client 1568, 1034
2025-02-09 02:45:07,250 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:08,335 [INFO] Found template at (168, 49)
2025-02-09 02:45:08,336 [INFO] Click at client 1568, 1034
2025-02-09 02:45:08,336 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:09,428 [INFO] Found template at (168, 49)
2025-02-09 02:45:09,429 [INFO] Click at client 1568, 1034
2025-02-09 02:45:09,429 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:10,527 [INFO] Found template at (168, 49)
2025-02-09 02:45:10,527 [INFO] Click at client 1568, 1034
2025-02-09 02:45:10,527 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:11,604 [INFO] Found template at (168, 49)
2025-02-09 02:45:11,604 [INFO] Click at client 1568, 1034
2025-02-09 02:45:11,605 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:12,685 [INFO] Found template at (168, 49)
2025-02-09 02:45:12,686 [INFO] Click at client 1568, 1034
2025-02-09 02:45:12,686 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:13,771 [INFO] Found template at (168, 49)
2025-02-09 02:45:13,772 [INFO] Click at client 1568, 1034
2025-02-09 02:45:13,772 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:14,861 [INFO] Found template at (168, 49)
2025-02-09 02:45:14,861 [INFO] Click at client 1568, 1034
2025-02-09 02:45:14,862 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:15,940 [INFO] Found template at (168, 49)
2025-02-09 02:45:15,940 [INFO] Click at client 1568, 1034
2025-02-09 02:45:15,941 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:17,023 [INFO] Found template at (168, 49)
2025-02-09 02:45:17,024 [INFO] Click at client 1568, 1034
2025-02-09 02:45:17,025 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:18,092 [INFO] Found template at (168, 49)
2025-02-09 02:45:18,092 [INFO] Click at client 1568, 1034
2025-02-09 02:45:18,092 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:19,163 [INFO] Found template at (168, 49)
2025-02-09 02:45:19,164 [INFO] Click at client 1568, 1034
2025-02-09 02:45:19,166 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:20,229 [INFO] Found template at (168, 49)
2025-02-09 02:45:20,230 [INFO] Click at client 1568, 1034
